MAKH,SDT,HOTEN,NGAYSINH,GIOITINH,DIACHI,DIEMTICHLUY
KH0001,0711460740,Khach Hang 1,2004-12-25,Nu,Dong Nai,1699
KH0002,0993491675,Khach Hang 2,1978-08-11,Nam,Khanh Hoa,4232
KH0003,0725736928,Khach Hang 3,1991-09-06,Nu,Khanh Hoa,2074
KH0004,0837403848,Khach Hang 4,1996-02-01,Nam,Binh Duong,4679
KH0005,0785728632,Khach Hang 5,1996-07-29,Nu,Hai Phong,4364
KH0006,0977891078,Khach Hang 6,2001-03-02,Nam,Binh Duong,128
KH0007,0976586876,Khach Hang 7,1990-07-10,Nu,Binh Duong,280
KH0008,0753371431,Khach Hang 8,1984-05-22,Nam,Dong Nai,562
KH0009,0868206096,Khach Hang 9,1973-08-16,Nu,Ha Noi,384
KH0010,0774513653,Khach Hang 10,1993-12-23,Nam,Da Nang,4561
KH0011,0829768264,Khach Hang 11,2003-01-23,Nu,Da Nang,981
KH0012,0975325491,Khach Hang 12,2005-07-08,Nam,Dong Nai,1141
KH0013,0915982593,Khach Hang 13,1980-07-02,Nu,Hai Phong,4226
KH0014,0745960592,Khach Hang 14,1974-10-04,Nam,Ho Chi Minh,1895
KH0015,0725471062,Khach Hang 15,2004-07-30,Nu,Dong Nai,158
KH0016,0940803036,Khach Hang 16,1989-07-18,Nam,Ho Chi Minh,3104
KH0017,0879038802,Khach Hang 17,1983-12-23,Nu,Can Tho,3164
KH0018,0790767649,Khach Hang 18,1999-12-23,Nam,Da Nang,4836
KH0019,0943969473,Khach Hang 19,1985-11-20,Nu,Hai Phong,1883
KH0020,0950314450,Khach Hang 20,1985-06-27,Nam,Ho Chi Minh,4737
KH0021,0334483501,Khach Hang 21,1992-09-14,Nu,Khanh Hoa,4470
KH0022,0730889761,Khach Hang 22,1987-03-01,Nam,Can Tho,3896
KH0023,0995384473,Khach Hang 23,1986-08-24,Nu,Dong Nai,480
KH0024,0351372687,Khach Hang 24,1982-12-30,Nam,Ha Noi,1789
KH0025,0778772541,Khach Hang 25,1985-07-18,Nu,Ha Noi,1214
KH0026,0961992229,Khach Hang 26,2000-08-28,Nam,Ho Chi Minh,2405
KH0027,0937375693,Khach Hang 27,1997-06-16,Nu,Can Tho,3531
KH0028,0391146338,Khach Hang 28,1976-08-18,Nam,Can Tho,864
KH0029,0949489083,Khach Hang 29,1972-09-06,Nu,Binh Duong,297
KH0030,0761945674,Khach Hang 30,2005-01-24,Nam,Hai Phong,3519
KH0031,0367524446,Khach Hang 31,2000-02-07,Nu,Can Tho,4918
KH0032,0818405772,Khach Hang 32,1982-08-30,Nam,Dong Nai,4391
KH0033,0714206963,Khach Hang 33,1997-10-08,Nu,Binh Duong,2449
KH0034,0965759330,Khach Hang 34,1971-05-15,Nam,Khanh Hoa,801
KH0035,0729277580,Khach Hang 35,1998-08-08,Nu,Dong Nai,251
KH0036,0357969044,Khach Hang 36,2004-07-05,Nam,Binh Duong,4907
KH0037,0927428643,Khach Hang 37,1979-04-04,Nu,Hai Phong,731
KH0038,0837209331,Khach Hang 38,1974-08-20,Nam,Can Tho,4826
KH0039,0930297940,Khach Hang 39,2005-10-04,Nu,Can Tho,3283
KH0040,0777950656,Khach Hang 40,1986-11-09,Nam,Da Nang,861
KH0041,0398331398,Khach Hang 41,1993-04-20,Nu,Dong Nai,3952
KH0042,0898157321,Khach Hang 42,1991-08-29,Nam,Hai Phong,3879
KH0043,0311202540,Khach Hang 43,1971-02-14,Nu,Khanh Hoa,4507
KH0044,0817434113,Khach Hang 44,1993-01-27,Nam,Binh Duong,3828
KH0045,0897249960,Khach Hang 45,1972-11-06,Nu,Ho Chi Minh,964
KH0046,0369640123,Khach Hang 46,1985-08-19,Nam,Hai Phong,2678
KH0047,0714338116,Khach Hang 47,1997-07-18,Nu,Binh Duong,907
KH0048,0726827578,Khach Hang 48,1977-02-22,Nam,Ha Noi,89
KH0049,0395616339,Khach Hang 49,1978-10-20,Nu,Ho Chi Minh,481
KH0050,0987583949,Khach Hang 50,2002-04-18,Nam,Da Nang,982
KH0051,0964567324,Khach Hang 51,2005-04-26,Nu,Hai Phong,1045
KH0052,0779862273,Khach Hang 52,1971-11-27,Nam,Ho Chi Minh,1992
KH0053,0388562098,Khach Hang 53,1981-05-28,Nu,Da Nang,3681
KH0054,0846586273,Khach Hang 54,2006-11-19,Nam,Ho Chi Minh,943
KH0055,0715674824,Khach Hang 55,1973-07-30,Nu,Binh Duong,3042
KH0056,0930449215,Khach Hang 56,1997-05-19,Nam,Hai Phong,1058
KH0057,0978720781,Khach Hang 57,1990-01-30,Nu,Da Nang,3248
KH0058,0399460218,Khach Hang 58,2006-07-26,Nam,Ha Noi,3684
KH0059,0921177907,Khach Hang 59,1994-10-29,Nu,Ha Noi,1112
KH0060,0990884949,Khach Hang 60,1999-07-19,Nam,Ha Noi,1315
KH0061,0741036140,Khach Hang 61,1994-06-13,Nu,Ho Chi Minh,1804
KH0062,0995367839,Khach Hang 62,1984-10-13,Nam,Da Nang,3852
KH0063,0763373073,Khach Hang 63,1985-09-20,Nu,Hai Phong,2740
KH0064,0355559095,Khach Hang 64,2006-05-20,Nam,Can Tho,2332
KH0065,0386991607,Khach Hang 65,1990-05-24,Nu,Hai Phong,448
KH0066,0720893529,Khach Hang 66,2000-05-26,Nam,Ho Chi Minh,895
KH0067,0871072110,Khach Hang 67,1988-05-15,Nu,Ho Chi Minh,4246
KH0068,0720007539,Khach Hang 68,1974-12-14,Nam,Hai Phong,3523
KH0069,0960282101,Khach Hang 69,1994-12-19,Nu,Hai Phong,3088
KH0070,0931188319,Khach Hang 70,1988-10-06,Nam,Ho Chi Minh,878
KH0071,0811230030,Khach Hang 71,1970-10-21,Nu,Ho Chi Minh,2515
