MANV,MACH,HOTEN,GIOITINH,NGAYSINH,CHUCVU,LUONG,NGAYVAOLAM
NV0002,CH3,Phạm Thị Hùng,Nam,2001-12-23,Cua hang truong,22504904,2016-01-11
NV0005,CH3,Nguyễn Văn Long,Nu,1994-11-24,Ke toan,19011151,2021-05-07
NV0008,CH3,Phạm Hoàng Nam,Nam,1987-03-15,Nhan vien,9059829,2019-06-30
NV0011,CH3,Lê Thị Quang,Nu,1986-11-13,Nhan vien,7881726,2021-05-09
NV0014,CH3,Đỗ Minh Bình,Nam,1995-03-23,Nhan vien,7088787,2020-04-24
NV0017,CH3,Đỗ Thanh Tài,Nu,1994-08-10,Nhan vien,9175825,2017-06-20
NV0020,CH3,Hoàng Văn Minh,Nam,1988-03-25,Quan ly,20062963,2021-10-15
NV0023,CH3,Lê Minh Tài,Nu,1993-09-26,Nhan vien,8975937,2019-01-10
NV0026,CH3,Bùi Ngọc Minh,Nam,1990-07-25,Nhan vien,9566301,2018-01-28
NV0029,CH3,Huỳnh Thanh Bình,Nu,1995-02-19,Nhan vien,9022430,2021-08-16
NV0032,CH3,Trần Thị Quang,Nam,2002-08-02,Nhan vien,7357300,2019-04-10
NV0035,CH3,Lê Minh Hùng,Nu,1999-01-10,Ke toan,17116228,2023-03-20
NV0038,CH3,Huỳnh Thị Hùng,Nam,1997-11-11,Nhan vien,9312683,2018-12-03
NV0041,CH3,Lê Ngọc Khánh,Nu,1985-04-04,Nhan vien,8180379,2020-11-30
NV0044,CH3,Bùi Minh An,Nam,1985-11-23,Nhan vien,9738085,2021-03-07
NV0047,CH3,Võ Thị Linh,Nu,1987-07-31,Nhan vien,9157667,2022-07-06
NV0050,CH3,Bùi Văn Phúc,Nam,1996-05-20,Quan ly,19468188,2015-12-26
NV0053,CH3,Bùi Thanh An,Nu,1987-06-12,Nhan vien,8698978,2017-06-11
NV0056,CH3,Hoàng Thị Bình,Nam,1994-05-24,Nhan vien,7196090,2015-05-12
NV0059,CH3,Trần Thanh Hùng,Nu,1987-01-22,Nhan vien,9538748,2022-10-21
NV0062,CH3,Bùi Thanh Trang,Nam,1996-12-05,Nhan vien,9160871,2018-12-21
NV0065,CH3,Đặng Gia Linh,Nu,1986-09-25,Ke toan,14667995,2023-01-01
NV0068,CH3,Đỗ Gia Minh,Nam,1997-08-13,Nhan vien,7182858,2018-01-20
NV0071,CH3,Phạm Văn Bình,Nu,2001-08-13,Nhan vien,9957440,2015-08-02
NV0074,CH3,Phạm Gia Hùng,Nam,1999-05-07,Nhan vien,9820080,2015-02-08
NV0077,CH3,Võ Thị Dũng,Nu,1989-09-30,Nhan vien,9342296,2018-04-11
NV0080,CH3,Đặng Thanh Bình,Nam,1996-11-10,Quan ly,18172346,2018-03-16
NV0083,CH3,Phạm Thị Long,Nu,1994-01-21,Nhan vien,7811855,2019-11-15
NV0086,CH3,Đặng Thị Cường,Nam,1992-11-12,Nhan vien,9595169,2015-04-01
NV0089,CH3,Trần Thanh Minh,Nu,1995-01-01,Nhan vien,7845490,2020-01-14
NV0092,CH3,Nguyễn Thị Tuấn,Nam,1993-05-21,Nhan vien,8152143,2017-03-17
NV0095,CH3,Bùi Ngọc Hương,Nu,1997-06-17,Ke toan,18039776,2021-12-29
NV0098,CH3,Huỳnh Văn Bình,Nam,2002-09-24,Nhan vien,7709726,2018-01-24
NV0101,CH3,Lê Văn Cường,Nu,1998-10-24,Nhan vien,9122537,2021-04-10
NV0104,CH3,Đỗ Văn Trang,Nam,1990-06-02,Nhan vien,9702223,2017-11-29
